# session_0,session_1,session_2,session_3,session_4,session_5,session_6,session_7,session_8,session_9,session_10,session_11,session_12,session_13,session_14,session_15,session_16,session_17,session_18,session_19,session_20,session_21,session_22,session_23,session_24,session_25
0,0,48,52,57,54,65,56,58,53,49,53,57,56,52,60,49,53,55,61,69,49,50,51,59,49
0,0,48,52,57,54,65,56,58,54,49,53,57,56,52,60,49,53,55,61,67,49,50,51,59,52
57,0,49,52,57,54,56,56,58,54,49,53,57,56,52,60,49,53,55,60,67,49,49,48,59,52
57,0,49,0,57,54,56,56,58,52,49,53,58,56,52,60,47,53,55,60,67,48,49,48,59,52
56,0,49,0,57,54,56,56,58,51,49,53,58,56,51,60,47,54,55,60,67,48,50,48,59,50
54,0,50,0,55,53,54,58,58,51,49,54,58,56,51,60,49,55,56,60,63,45,51,49,59,49
57,54,50,0,53,52,53,58,56,51,48,54,58,56,50,60,47,56,57,59,61,45,51,48,59,49
57,54,51,0,51,52,53,53,56,51,48,54,55,56,50,60,48,57,57,59,60,45,51,48,59,0
57,52,51,52,51,52,53,53,56,51,48,55,55,56,51,56,48,57,58,59,56,45,51,49,57,0
57,50,51,53,51,52,53,53,55,51,48,55,55,56,51,56,48,57,59,59,55,45,51,49,51,0
57,48,52,53,51,53,54,54,55,51,48,55,55,56,51,56,48,57,59,59,55,46,51,50,50,0
57,48,52,53,51,53,54,54,55,51,48,56,55,49,52,55,49,57,63,60,55,46,51,49,50,0
57,47,52,55,51,54,54,54,55,51,50,56,57,49,54,53,49,57,64,61,56,48,51,49,50,0
57,45,52,62,51,56,54,54,55,49,52,56,55,49,54,53,49,55,63,61,56,48,51,50,50,0
57,45,52,62,51,57,56,54,55,48,52,56,55,49,57,53,49,55,63,65,56,49,51,50,50,253
57,47,52,62,53,65,56,54,55,49,52,57,57,49,58,53,49,55,63,66,56,50,51,50,50,1
57,47,52,62,53,65,56,54,54,49,53,57,57,49,58,53,51,55,62,69,56,50,51,51,50,0
0,48,52,62,53,65,56,54,54,49,53,57,56,49,59,53,52,55,62,69,56,50,51,54,50,0
