# ts,sessionnum,HR,BR,ST,QTc,Cadence,Shock,QOS
0,0,108,22,0,452,88,12,95
22000,1,104,22,0,452,174,122,95
45000,2,139,30,0,508,167,40,95
67000,3,144,33,-10,458,26,6,95
90000,4,138,32,0,438,171,90,95
112000,5,149,36,0,493,154,66,95
135000,6,139,32,-10,426,179,110,95
157000,7,145,35,0,438,167,84,95
180000,8,154,35,0,488,114,8,95
202000,9,140,35,0,417,176,110,95
225000,10,154,38,10,477,163,72,95
247000,11,152,37,0,447,0,0,95
270000,12,145,37,0,438,168,100,95
292000,13,160,39,20,487,96,46,95
315000,14,146,36,0,421,0,0,95
338000,15,115,34,10,374,0,0,95
360000,16,96,32,20,356,0,0,95
383000,17,103,33,10,400,0,0,95
405000,18,101,30,30,397,0,0,95
428000,19,101,29,10,404,0,0,95
450000,20,99,30,20,411,0,0,95
473000,21,98,27,10,410,0,0,95
495000,22,99,27,10,410,0,0,95
518000,23,98,24,20,420,0,0,95
540000,24,93,23,10,402,0,0,95
563000,25,94,22,10,400,0,0,95
585000,26,93,25,20,407,0,0,95
608000,27,93,24,10,400,0,0,95
630000,28,92,24,10,410,0,0,95
653000,29,90,22,10,395,0,0,95
675000,30,92,22,10,412,0,0,95
698000,31,91,22,10,404,0,0,95
720000,32,94,19,10,410,0,0,95
743000,33,88,23,0,413,0,0,95
765000,34,97,25,0,430,156,2,95
788000,35,98,25,0,422,0,0,95
810000,36,88,24,10,405,0,0,95
833000,37,88,26,0,409,0,0,95
855000,38,89,23,10,412,0,0,95
878000,39,86,21,10,399,0,0,95
900000,40,91,22,0,417,0,0,95
923000,41,92,20,0,409,0,0,95
