# ts,sessionnum,Breath Rate,Heart Rate,ST Change,Cadence,Body Power,Body Shock,Altitude,UGE,HRV,PEP,LVET,QOS,Device QTc,Device BR,Device HR,Device ST,Device Cadence,Device Shock
0,0,4,82,-40,0,0,0,44177,0,50,32,0,95,412,24,82,-10,96,8
23000,1,16,88,-52,0,0,0,44177,0,33,32,0,95,417,21,89,-20,22,6
45000,2,13,82,-39,0,0,0,44177,0,54,35,0,95,403,24,83,-10,211,126
68000,3,18,123,47,0,0,0,44177,0,56,33,0,95,443,25,117,10,171,128
91000,4,26,125,-67,0,0,0,44177,0,3,32,0,95,438,31,126,-20,54,10
113000,5,22,123,-46,0,0,0,44177,0,18,33,0,95,405,29,122,-30,203,126
136000,6,28,138,-39,0,0,0,44177,0,25,33,0,95,462,33,133,-20,169,122
158000,7,22,130,-76,0,0,0,44177,0,4,33,0,95,402,30,131,-20,65,10
181000,8,29,132,-29,0,0,0,44177,0,27,32,0,95,430,32,128,10,188,152
204000,9,28,139,-61,0,0,0,44177,0,27,31,0,95,426,34,145,-10,125,10
227000,10,26,122,-48,0,0,0,44177,0,6,32,0,95,395,31,124,-40,200,118
249000,11,25,136,35,0,0,0,44177,0,9,32,0,95,422,35,134,20,170,116
273000,12,32,130,-62,0,0,0,44177,0,3,33,0,95,411,34,132,-20,84,8
295000,13,31,129,-15,0,0,0,44177,0,18,34,0,95,407,33,126,-20,200,128
318000,14,37,144,-16,0,0,0,44177,0,26,33,0,95,434,36,141,0,158,52
340000,15,30,127,-72,0,0,0,44177,0,4,34,0,95,401,33,131,-20,0,0
363000,16,26,89,-81,0,0,0,44177,0,35,34,0,95,344,31,102,-10,0,0
385000,17,17,100,-43,0,0,0,44177,0,68,34,0,95,392,32,97,-10,0,0
408000,18,27,92,-46,0,0,0,44177,0,47,34,0,95,392,31,94,-10,0,0
430000,19,20,80,-24,0,0,0,44177,0,47,35,0,95,388,29,83,0,0,0
453000,20,16,87,-23,0,0,0,44177,0,69,34,0,95,417,29,86,0,0,0
475000,21,17,87,-33,0,0,0,44177,0,29,33,0,95,415,27,87,0,0,0
498000,22,16,86,-32,0,0,0,44177,0,16,34,0,95,412,25,87,0,0,0
520000,23,16,98,-23,0,0,0,44177,0,23,33,0,95,441,25,95,0,0,0
543000,24,16,89,-35,0,0,0,44177,0,20,33,0,95,419,25,92,-10,0,0
565000,25,11,79,-27,0,0,0,44177,0,41,34,0,95,404,22,81,0,0,0
588000,26,8,84,-28,0,0,0,44177,0,30,33,0,95,414,23,81,-10,0,0
610000,27,4,79,-26,0,0,0,44177,0,74,34,0,95,412,19,85,0,0,0
633000,28,10,92,-23,0,0,0,44177,0,32,33,0,95,447,22,87,-10,13,4
655000,29,14,81,-30,0,0,0,44177,0,29,33,0,95,410,20,85,-10,0,0
678000,30,6,69,-29,0,0,0,44177,0,44,33,0,95,378,19,75,0,0,0
700000,31,7,81,-27,0,0,0,44177,0,73,31,0,95,417,19,75,0,0,0
723000,32,6,78,-53,0,0,0,44177,0,33,33,0,95,414,17,88,-10,0,0
745000,33,13,75,-33,0,0,0,44177,0,51,34,0,95,400,16,73,-10,0,0
768000,34,3,82,-40,0,0,0,44177,0,44,34,0,95,421,17,79,-10,0,0
790000,35,11,82,-36,0,0,0,44177,0,26,34,0,95,413,19,83,0,0,0
813000,36,7,79,-38,0,0,0,44177,0,49,33,0,95,412,16,78,-10,0,0
835000,37,12,93,-41,0,0,0,44177,0,39,34,0,95,447,17,87,0,0,0
858000,38,3,78,-42,0,0,0,44177,0,47,32,0,95,400,16,83,-10,0,0
880000,39,9,77,-42,0,0,0,44177,0,50,35,0,95,399,16,79,-10,0,0
903000,40,3,73,-48,0,0,0,44177,0,71,34,0,95,394,15,71,-10,0,0
925000,41,3,81,-36,0,0,0,44177,0,37,33,0,95,424,16,85,0,0,0
